Customer,E_Wi,SD_Wi
1,0.9208298168989068,0.8131482544679665
2,1.3229994555812943,1.1320478236206548
3,1.8126675286541514,1.5750477914796936
4,2.0280608656734653,1.8194074408067125
5,2.1155316593432714,1.7458337160293291
6,2.5352744064998465,2.0411584381828347
7,2.714437821242963,2.2695205401342
8,2.9889610052722677,2.488644113153495
9,3.072092952533445,2.6861812062782224
10,3.3229681959891026,2.7405124048656506
11,3.572968997367529,2.8601028268911053
12,3.7020882295446693,2.9354189371985204
13,3.888137416248293,3.1944692988381074
14,4.191234708247258,3.4285447609242956
15,4.398716479386207,3.5360830315569625
16,4.362490098389916,3.5526038856691877
17,4.3929810223886925,3.649144340694678
18,4.498104758418236,3.7198305240844594
19,4.535061954838507,3.8091967688308523
20,4.517487145143924,4.029678764092164
21,4.546528138743936,4.288494031843164
22,4.626290809133706,4.126829812304067
23,4.548031349269508,3.9643799563511886
24,4.5698363603843415,4.12775206432311
25,4.523348539490099,4.202003294621258
26,4.382423008209296,4.302124601787708
27,4.4584808099248265,4.210554299687307
28,4.906443692893018,4.401429635266023
29,5.056516040288173,4.668163121155541
30,4.960300939193713,4.724373439837583
31,4.973034464806712,4.544703211508348
32,5.079195287326362,4.658096684910317
33,5.024001873229743,4.9205783198240205
34,5.13430636028169,4.989134625396444
35,5.1907873366467765,4.881447335603567
36,4.938800547497638,4.875957875065539
37,4.995478244343567,4.746915048727551
38,5.090937663207432,4.862736926346151
39,5.19620370275606,4.861907973892257
40,5.34790302712288,4.970721699037908
41,5.202205197741093,5.226983381980587
42,5.263879152745553,5.362909694052394
43,5.188942369384344,5.223890162741781
44,5.485121792806764,5.338295378715246
45,5.76094350683848,5.390855913592165
46,5.745433828554599,5.475439543098035
47,5.993427974379026,5.56794974536343
48,6.098639086795481,5.472088546545179
49,6.176377188302688,5.40747840185507
50,6.358983275494243,5.5180721123147585
51,6.204394166274138,5.5371700183799515
52,6.3253215861984655,5.543899459771424
53,6.446771518488137,5.741497456662669
54,6.449050695416581,5.629152183982883
55,6.663660196833766,5.836867454217508
56,6.750928251849814,5.9048739276669115
57,6.712091886610556,5.991616593665037
58,6.721198325933443,6.113625628966945
59,6.6412183905768805,6.069887555824522
60,6.500825407609795,6.312890461676933
61,6.5539123324748605,6.3793645849358285
62,6.587548689576659,6.347851827367314
63,6.689014963361343,6.2471756784450205
64,6.709454375249214,6.184031253354222
65,6.7548480635013854,6.185677543369231
66,6.847851450173741,6.129026396986189
67,6.939120412707856,6.04288067852857
68,7.053823235872428,6.181095807964958
69,7.008312614270241,6.349388474462346
70,6.802038745949805,6.405784879318087
71,6.591229050827667,6.373199931852701
72,6.701656486437339,6.4167277920450765
73,6.5776466149788915,6.453369161741395
74,6.565500660946907,6.521535520387024
75,6.515463325090395,6.486889095790187
76,6.674291784535345,6.58270096796957
77,6.643421933034046,6.801575060940552
78,6.695409791135415,6.808290362109808
79,6.744991573068993,6.972273592428097
80,6.738862658901485,7.031299694660114
81,6.86483730186993,6.9574801773095905
82,6.863800621651212,7.02893578032447
83,6.873605453393013,7.057306640897684
84,7.051908899863431,6.912258450395829
85,7.024403257158367,7.1475349630210765
86,7.222744625566975,7.0732912205610905
87,7.196886267524269,7.186542874964191
88,7.328528130474005,7.284365024839666
89,7.179246518109199,7.463492739261917
90,7.266534283063437,7.619753938113441
91,7.421690855741458,7.64056149723869
92,7.38921739102791,7.615539207200879
93,7.64707457791885,7.565471608260748
94,7.726985270059361,7.522093405643516
95,7.961330137824451,7.679820416489185
96,8.021205691609312,7.723990907583324
97,7.937305996237496,7.809652707765923
98,7.948614255372737,7.673427118091983
99,8.05648599305544,7.90606034328475
100,8.064453091952595,7.98188934954973
101,8.139011518691019,8.166396553864484
102,8.172812752460999,8.1027476646548
103,7.939968960206303,8.059959210140178
104,7.896495424487032,8.247645148131381
105,8.019553046629133,8.2524620487139
106,8.076393654652149,8.28179890270438
107,8.054274094554161,8.316460157728061
108,7.888464417741196,8.603675898915695
109,7.921228530168844,8.825143785170946
110,8.050655604894459,8.727462846562823
111,8.139342365149586,8.738260279695607
112,7.980801569133536,8.635812668425501
113,8.079847683493847,8.63773574316602
114,8.205139030863256,8.741012645545435
115,8.353767260289048,8.803041135806327
116,8.310920526243164,8.835747247750975
117,8.251857402772618,8.626782875664079
118,8.198039764358048,8.71205986798724
119,8.084849667664304,8.54632948296006
120,8.050799970967677,8.53923809314263
121,7.939866252140739,8.437819842332583
122,7.793270288576001,8.348373767868008
123,7.670846139112714,8.308253197675572
124,7.554738977462989,8.423385339380928
125,7.424744197526019,8.273945753621694
126,7.292401917014222,8.398158417430118
127,7.151383251519954,8.416527559306207
128,7.334483442258912,8.646291907669365
129,7.579008462000869,8.677172023278732
130,7.584410978431156,8.730944079066767
131,7.906975014212236,8.866143346506435
132,7.782190449391104,8.856634738724386
133,7.721830102085192,8.945591774070591
134,7.914866362159887,9.01307656294235
135,7.997612463737692,9.093026548280758
136,7.896487813836811,8.988023401988462
137,7.862113929846396,8.913589661417193
138,8.065113006469891,8.961472821631968
139,7.940184325969268,8.909710658945915
140,7.919444132515607,8.868592325618298
141,7.994005673361355,8.923712277142599
142,7.88974870947735,8.664990736993786
143,7.693259284946213,8.73962535739404
144,7.765437274834062,8.804226454259531
145,7.589480814367374,8.820097890357635
146,7.661714807366202,8.745851665293472
147,7.765585795229742,8.655200186234833
148,7.920659931012535,8.766394009682125
149,7.904710024478093,8.682607620828424
150,7.658186521704079,8.767005673942762
151,7.733676176330885,8.836394895743522
152,7.8258143153758795,8.647458925935988
153,7.783863273562003,8.83863762767879
154,7.883129077029818,8.799450983981789
155,7.848196274643263,8.535340674562727
156,7.953543795365076,8.421527602069256
157,8.098840317698844,8.465833890149481
158,8.322391885756069,8.477707791502302
159,8.354875869156862,8.577604198572148
160,8.521232202429395,8.599278152149369
161,8.50798074643602,8.559822636230736
162,8.682310208778066,8.627878298706367
163,8.613748509242917,8.461870826105752
164,8.508818154715875,8.623957983810783
165,8.438694788010427,8.523000762444042
166,8.505088522275443,8.392227023678261
167,8.380111541396687,8.36730234064166
168,8.210585050318667,8.36479481587146
